exec sudo mnexec -a 5330 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 49654
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 37.0000-38.0000 sec   590 KBytes  4.83 Mbits/sec   2.500 ms 0/411 (0%)
[  5] 29.0000-30.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 35.0000-36.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 34.0000-35.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  2] 36.0000-37.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 38.0000-39.0000 sec   586 KBytes  4.80 Mbits/sec   2.520 ms 0/408 (0%)
[  5] 30.0000-31.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 36.0000-37.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 35.0000-36.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  2] 37.0000-38.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 39.0000-40.0000 sec   591 KBytes  4.85 Mbits/sec   2.132 ms 1/413 (0.24%)
[  5] 31.0000-32.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 37.0000-38.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 36.0000-37.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  2] 38.0000-39.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 40.0000-41.0000 sec   583 KBytes  4.77 Mbits/sec   1.971 ms 0/406 (0%)
[  5] 32.0000-33.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 38.0000-39.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 37.0000-38.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 41.0000-42.0000 sec   590 KBytes  4.83 Mbits/sec   1.519 ms 0/411 (0%)
[  2] 39.0000-40.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  5] 33.0000-34.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 39.0000-40.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 38.0000-39.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  2] 40.0000-41.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 42.0000-43.0000 sec   591 KBytes  4.85 Mbits/sec   2.887 ms 0/412 (0%)
[  5] 34.0000-35.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 40.0000-41.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 41.0000-42.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 39.0000-40.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 43.0000-44.0000 sec   587 KBytes  4.81 Mbits/sec   2.937 ms 0/409 (0%)
[  5] 35.0000-36.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 41.0000-42.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 42.0000-43.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 40.0000-41.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 44.0000-45.0000 sec   590 KBytes  4.83 Mbits/sec   3.043 ms 0/411 (0%)
[  5] 36.0000-37.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 42.0000-43.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 43.0000-44.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 41.0000-42.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 45.0000-46.0000 sec   589 KBytes  4.82 Mbits/sec   1.977 ms 0/410 (0%)
[  5] 37.0000-38.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 43.0000-44.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 44.0000-45.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 42.0000-43.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 46.0000-47.0000 sec   589 KBytes  4.82 Mbits/sec   2.539 ms 0/410 (0%)
[  5] 38.0000-39.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 44.0000-45.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 45.0000-46.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
