------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.5 port 39077
[  2] local 10.0.0.1 port 8 connected with 10.0.0.3 port 33782
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 38659
[  4] local 10.0.0.1 port 8 connected with 10.0.0.4 port 48815
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 50.0000-51.0000 sec   732 KBytes  6.00 Mbits/sec   0.264 ms 0/510 (0%)
[  3] 50.0000-51.0000 sec   854 KBytes  7.00 Mbits/sec   0.292 ms 0/595 (0%)
[  1] 51.0000-52.0000 sec   610 KBytes  5.00 Mbits/sec   0.089 ms 0/425 (0%)
[  2] 51.0000-52.0000 sec   612 KBytes  5.01 Mbits/sec   0.559 ms 0/426 (0%)
[  3] 51.0000-52.0000 sec   854 KBytes  7.00 Mbits/sec   0.197 ms 0/595 (0%)
[  4] 51.0000-52.0000 sec   734 KBytes  6.01 Mbits/sec   0.262 ms 0/511 (0%)
[  1] 52.0000-53.0000 sec   612 KBytes  5.01 Mbits/sec   0.031 ms 0/426 (0%)
[  4] 52.0000-53.0000 sec   732 KBytes  6.00 Mbits/sec   0.354 ms 0/510 (0%)
[  2] 52.0000-53.0000 sec   610 KBytes  5.00 Mbits/sec   0.360 ms 0/425 (0%)
[  3] 52.0000-53.0000 sec   856 KBytes  7.01 Mbits/sec   0.213 ms 0/596 (0%)
[  4] 53.0000-54.0000 sec   732 KBytes  6.00 Mbits/sec   0.298 ms 0/510 (0%)
[  1] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.047 ms 0/425 (0%)
[  2] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.425 ms 0/425 (0%)
[  3] 53.0000-54.0000 sec   854 KBytes  7.00 Mbits/sec   0.235 ms 0/595 (0%)
[  4] 54.0000-55.0000 sec   732 KBytes  6.00 Mbits/sec   0.287 ms 0/510 (0%)
[  1] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.029 ms 0/425 (0%)
[  2] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.398 ms 0/425 (0%)
[  3] 54.0000-55.0000 sec   854 KBytes  7.00 Mbits/sec   0.255 ms 0/595 (0%)
[  1] 55.0000-56.0000 sec   610 KBytes  5.00 Mbits/sec   0.045 ms 0/425 (0%)
[  2] 55.0000-56.0000 sec   610 KBytes  5.00 Mbits/sec   0.410 ms 0/425 (0%)
[  3] 55.0000-56.0000 sec   854 KBytes  7.00 Mbits/sec   0.293 ms 0/595 (0%)
[  4] 55.0000-56.0000 sec   732 KBytes  6.00 Mbits/sec   0.252 ms 0/510 (0%)
[  1] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.076 ms 0/425 (0%)
[  2] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.394 ms 0/425 (0%)
[  3] 56.0000-57.0000 sec   854 KBytes  7.00 Mbits/sec   0.210 ms 0/595 (0%)
[  4] 56.0000-57.0000 sec   732 KBytes  6.00 Mbits/sec   0.297 ms 0/510 (0%)
[  1] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.024 ms 0/425 (0%)
[  2] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.529 ms 0/425 (0%)
[  4] 57.0000-58.0000 sec   732 KBytes  6.00 Mbits/sec   0.249 ms 0/510 (0%)
[  3] 57.0000-58.0000 sec   856 KBytes  7.01 Mbits/sec   0.173 ms 0/596 (0%)
[  4] 58.0000-59.0000 sec   734 KBytes  6.01 Mbits/sec   0.206 ms 0/511 (0%)
[  1] 58.0000-59.0000 sec   612 KBytes  5.01 Mbits/sec   0.069 ms 0/426 (0%)
[  2] 58.0000-59.0000 sec   612 KBytes  5.01 Mbits/sec   0.416 ms 0/426 (0%)
[  3] 58.0000-59.0000 sec   854 KBytes  7.00 Mbits/sec   0.250 ms 0/595 (0%)
[  4] 59.0000-60.0000 sec   732 KBytes  6.00 Mbits/sec   0.269 ms 0/510 (0%)
[  1] 59.0000-60.0000 sec   610 KBytes  5.00 Mbits/sec   0.035 ms 0/425 (0%)
[  2] 59.0000-60.0000 sec   610 KBytes  5.00 Mbits/sec   0.534 ms 0/425 (0%)
[  3] 59.0000-60.0000 sec   854 KBytes  7.00 Mbits/sec   0.229 ms 0/595 (0%)
[  4] 60.0000-61.0000 sec   732 KBytes  6.00 Mbits/sec   0.368 ms 0/510 (0%)
[  1] 60.0000-61.0000 sec   610 KBytes  5.00 Mbits/sec   0.128 ms 0/425 (0%)
[  2] 60.0000-61.0000 sec   610 KBytes  5.00 Mbits/sec   0.385 ms 0/425 (0%)
[  3] 60.0000-61.0000 sec   854 KBytes  7.00 Mbits/sec   0.283 ms 0/595 (0%)
[  4] 61.0000-62.0000 sec   732 KBytes  6.00 Mbits/sec   0.294 ms 0/510 (0%)
[  1] 61.0000-62.0000 sec   610 KBytes  5.00 Mbits/sec   0.134 ms 0/425 (0%)
